,code,concatsize,organic,name,RRP,brand,j,price,,,barcode,case size,unit size,unit,
1,4085,6x250g,organic,Quinoa Puffs,3.25,Infinity Foods,,14.6,,0,5028869040857,6,250,g,
1,5005,12x500g,organic,Aduki Beans,1.89,Infinity Foods,,17.05,,0,5028869050054,12,500,g,
1,5015,12x500g,organic,Beluga Lentils (black),2.72,Infinity Foods,,24.5,,0,5028869050153,12,500,g,
1,5017,12x500g,organic,Black-eyed Beans,2.29,Infinity Foods,,20.65,,0,5028869050177,12,500,g,
1,5020,12x500g,organic,Black Turtle Beans,1.54,Infinity Foods,,13.9,,0,5028869050207,12,500,g,
1,5022,12x500g,organic,Brown Lentils,2.03,Infinity Foods,,18.25,,0,5028869050221,12,500,g,
1,5023,12x500g,organic,Cannellini Beans,1.71,Infinity Foods,,15.4,,0,5028869050238,12,500,g,
1,5025,12x500g,organic,Chickpeas,2.06,Infinity Foods,,18.5,,0,5028869050252,12,500,g,
1,5027,12x500g,organic,Butter Beans,2.29,Infinity Foods,,20.65,,0,5028869050276,12,500,g,
1,5035,12x500g,organic,Green Lentils,2.39,Infinity Foods,,21.5,,0,5028869050351,12,500,g,
1,5045,12x500g,organic,Green Split Peas - UK,1.36,Infinity Foods,,12.25,,0,5028869050450,12,500,g,
1,5055,12x500g,organic,Haricot Beans,1.47,Infinity Foods,,13.25,,0,5028869050559,12,500,g,
1,5065,12x500g,organic,Mung Beans,2.15,Infinity Foods,,19.25,,0,5028869050658,12,500,g,
1,5075,12x500g,organic,Pinto Beans (light speckled kidney),1.98,Infinity Foods,,17.8,,0,5028869050757,12,500,g,
1,5085,12x500g,organic,French Type Lentils,2.43,Infinity Foods,,21.85,,0,5028869050856,12,500,g,
1,5095,12x500g,organic,Red Kidney Beans,1.8,Infinity Foods,,16.1,,0,5028869050955,12,500,g,
1,5105,12x500g,organic,Red Split Lentils,1.95,Infinity Foods,,17.5,,0,5028869051051,12,500,g,
1,5110,12x1kg,organic,Red Split Lentils,3.59,Infinity Foods,,32.2,,0,5028869051105,12,1,kg,
1,5115,12x500g,organic,Soya Beans,1.39,Infinity Foods,,12.5,,0,5028869051150,12,500,g,
1,5130,12x500g,organic,Yellow Split Peas - UK,1.35,Infinity Foods,,12.1,,0,5028869051303,12,500,g,
1,6005,12x125g,organic,Alfalfa Seeds,1.65,Infinity Foods,,14.8,,0,5028869060053,12,125,g,
